;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simulation results - disaggregated. Individual dwelling simulations are listed below in sequential order (dwelling 1 first, then dwelling 2 etc.) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwelling index;Date;Time;Occupancy;Activity;Lighting demand;Appliance demand;Casual thermal gains from occupants, lighting and appliances;Outdoor temperature;Outdoor global radiation (horizontal);Passive solar gains;Primary heating system thermal output;External building node temperature;Internal building node temperature;Hot water demand (litres);Hot water temperature in hot water tank;Space heating timer settings;Hot water heating timer settings;Heating system switched on;Hot water heating required;Emitter temperature;Radiation incident on PV array;PV output;Net dwelling electricity demand;Heat output from primary heating system to space;Heat output from primary heating system to hot water;Fuel flow rate (gas);Solar power incident on collector;Solar thermal collector control state;Solar thermal collector temperature;Heat gains to cylinder from solar thermal collector;Dwelling self-consumption;Space cooling timer settings;Cooling system switched on;Cooling output from cooling system to space;Cooler Emitter temperature;Heating Thermostat Set Point;Cooling Thermostat Set Point;Electricity used by cooling system;Electricity used by heating system
;;;;;Plight;Pa;θc;θo;Go;φs;φh;θb;θi;;θcyl;;;;;θem;Gi;Ppv;Pnet;φh, space;φh, water;mfuel;;;θcollector;φcollector;Pself;;;φh, space;θem;θem;θem;;
;;;;;W;W;W;°C;Wm-2;W;W;°C;°C;ltr.min-1;°C;;;;;°C;Wm-2;W;W;W;W;m3/h;W;;°C;W;kWh;;;W;°C;°C;°C;W;W
1;02/08/2015;12.00.00 AM;1;0;0;64;132,9;12,12291906;0;0;0;16,79457902;19,43007782;0;61,85143068;0;0;0;0;19,49793625;0;0;64;0;0;0;0;0;12,12291906;0;0;0;0;0;19,49793625;19;24;0;0
1;02/08/2015;12.01.00 AM;1;0;0;64;132,9;12,10168592;0;0;0;16,7930942;19,3661335;0;61,84415845;0;0;0;0;19,49562814;0;0;64;0;0;0;0;0;12,12291906;0;0;0;0;0;19,43007782;19;24;0;0
1;02/08/2015;12.02.00 AM;1;0;0;64;132,9;12,08045278;0;0;0;16,7915139;19,30481044;0;61,8368765;0;0;0;0;19,49122356;0;0;64;0;0;0;0;0;12,12268651;0;0;0;0;0;19,3661335;19;24;0;0
1;02/08/2015;12.03.00 AM;1;0;0;64;132,9;12,05921964;0;0;0;16,78984152;19,24598793;0;61,82958529;0;0;0;0;19,48488298;0;0;64;0;0;0;0;0;12,12222388;0;0;0;0;0;19,30481044;19;24;0;0
1;02/08/2015;12.04.00 AM;1;0;0;64;132,9;12,0379865;0;0;0;16,78808029;19,18953454;0;61,82228525;0;0;0;0;19,4767573;0;0;64;0;0;0;0;0;12,1215336;0;0;0;0;0;19,24598793;19;24;0;0
1;02/08/2015;12.05.00 AM;1;0;0;64;132,9;12,01675336;0;0;0;16,78623329;19,13532649;0;61,81497678;0;0;0;0;19,46698781;0;0;64;0;0;0;0;0;12,12061811;0;0;0;0;0;19,18953454;19;24;0;0
1;02/08/2015;12.06.00 AM;1;0;0;64;132,9;11,99552022;0;0;0;16,78430342;19,08324698;0;61,80766026;0;0;0;0;19,45570682;0;0;64;0;0;0;0;0;12,1194798;0;0;0;0;0;19,13532649;19;24;0;0
1;02/08/2015;12.07.00 AM;1;0;0;64;132,9;11,97428708;0;0;0;16,78229346;19,03318572;0;61,80033608;0;0;0;0;19,44303811;0;0;64;0;0;0;0;0;12,11812104;0;0;0;0;0;19,08324698;19;24;0;0
