# Renewables.ninja Solar PV (Point API) - 55.687, 12.570 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Copenhagen, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "electricity": "kW", "irradiance_direct": "kW/m\u00b2", "irradiance_diffuse": "kW/m\u00b2", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "55.6867243", "lon": "12.5700724", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 01:00,0,0,0,6.302
2019-01-01 01:00,2019-01-01 02:00,0,0,0,6.595
2019-01-01 02:00,2019-01-01 03:00,0,0,0,6.759
2019-01-01 03:00,2019-01-01 04:00,0,0,0,6.901
2019-01-01 04:00,2019-01-01 05:00,0,0,0,7.027
2019-01-01 05:00,2019-01-01 06:00,0,0,0,6.560
2019-01-01 06:00,2019-01-01 07:00,0,0,0,5.723
2019-01-01 07:00,2019-01-01 08:00,0,0,0.001,5.385
2019-01-01 08:00,2019-01-01 09:00,0.020,0.011,0.023,5.480
2019-01-01 09:00,2019-01-01 10:00,0.045,0.015,0.047,5.864
2019-01-01 10:00,2019-01-01 11:00,0.082,0.031,0.071,6.167
2019-01-01 11:00,2019-01-01 12:00,0.108,0.049,0.079,6.108
2019-01-01 12:00,2019-01-01 13:00,0.133,0.081,0.074,5.870
2019-01-01 13:00,2019-01-01 14:00,0.064,0.040,0.043,5.393
2019-01-01 14:00,2019-01-01 15:00,0.002,0.004,0.005,5.021
2019-01-01 15:00,2019-01-01 16:00,0,0,0,4.817
2019-01-01 16:00,2019-01-01 17:00,0,0,0,4.680
2019-01-01 17:00,2019-01-01 18:00,0,0,0,4.816
2019-01-01 18:00,2019-01-01 19:00,0,0,0,5.243
2019-01-01 19:00,2019-01-01 20:00,0,0,0,5.877
2019-01-01 20:00,2019-01-01 21:00,0,0,0,6.240
