HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2021-08-08T23:00:00+00:00,2021-08-09T01:00:00,DK2,291.53,39.2
2021-08-08T22:00:00+00:00,2021-08-09T00:00:00,DK2,365.31,49.12
2021-08-08T21:00:00+00:00,2021-08-08T23:00:00,DK2,420.79,56.58
2021-08-08T20:00:00+00:00,2021-08-08T22:00:00,DK2,473.96,63.73
2021-08-08T19:00:00+00:00,2021-08-08T21:00:00,DK2,490.1,65.9
2021-08-08T18:00:00+00:00,2021-08-08T20:00:00,DK2,506.09,68.05
2021-08-08T17:00:00+00:00,2021-08-08T19:00:00,DK2,450.01,60.51
2021-08-08T16:00:00+00:00,2021-08-08T18:00:00,DK2,373.63,50.24
2021-08-08T15:00:00+00:00,2021-08-08T17:00:00,DK2,352.07,47.34
2021-08-08T14:00:00+00:00,2021-08-08T16:00:00,DK2,239.25,32.17
2021-08-08T13:00:00+00:00,2021-08-08T15:00:00,DK2,293.32,39.44
2021-08-08T12:00:00+00:00,2021-08-08T14:00:00,DK2,202.14,27.18
2021-08-08T11:00:00+00:00,2021-08-08T13:00:00,DK2,244.83,32.92
2021-08-08T10:00:00+00:00,2021-08-08T12:00:00,DK2,176.85,23.78
2021-08-08T09:00:00+00:00,2021-08-08T11:00:00,DK2,178.04,23.94
2021-08-08T08:00:00+00:00,2021-08-08T10:00:00,DK2,170.23,22.89
2021-08-08T07:00:00+00:00,2021-08-08T09:00:00,DK2,22.31,3
2021-08-08T06:00:00+00:00,2021-08-08T08:00:00,DK2,6.25,0.84
2021-08-08T05:00:00+00:00,2021-08-08T07:00:00,DK2,0.67,0.09
2021-08-08T04:00:00+00:00,2021-08-08T06:00:00,DK2,0.3,0.04
2021-08-08T03:00:00+00:00,2021-08-08T05:00:00,DK2,0.3,0.04
2021-08-08T02:00:00+00:00,2021-08-08T04:00:00,DK2,0.52,0.07
2021-08-08T01:00:00+00:00,2021-08-08T03:00:00,DK2,4.39,0.59
2021-08-08T00:00:00+00:00,2021-08-08T02:00:00,DK2,4.98,0.67
2021-08-07T23:00:00+00:00,2021-08-08T01:00:00,DK2,9.44,1.27
2021-08-07T22:00:00+00:00,2021-08-08T00:00:00,DK2,119.14,16.02
2021-08-07T21:00:00+00:00,2021-08-07T23:00:00,DK2,431.51,58.02
2021-08-07T20:00:00+00:00,2021-08-07T22:00:00,DK2,477.4,64.19
2021-08-07T19:00:00+00:00,2021-08-07T21:00:00,DK2,513.17,69
2021-08-07T18:00:00+00:00,2021-08-07T20:00:00,DK2,558.54,75.1
2021-08-07T17:00:00+00:00,2021-08-07T19:00:00,DK2,595.58,80.08
2021-08-07T16:00:00+00:00,2021-08-07T18:00:00,DK2,572.67,77
2021-08-07T15:00:00+00:00,2021-08-07T17:00:00,DK2,513.77,69.08
2021-08-07T14:00:00+00:00,2021-08-07T16:00:00,DK2,424,57.01
2021-08-07T13:00:00+00:00,2021-08-07T15:00:00,DK2,398.04,53.52
2021-08-07T12:00:00+00:00,2021-08-07T14:00:00,DK2,398.19,53.54
2021-08-07T11:00:00+00:00,2021-08-07T13:00:00,DK2,383.47,51.56
2021-08-07T10:00:00+00:00,2021-08-07T12:00:00,DK2,398.12,53.53
2021-08-07T09:00:00+00:00,2021-08-07T11:00:00,DK2,399.38,53.7
2021-08-07T08:00:00+00:00,2021-08-07T10:00:00,DK2,417.53,56.14
2021-08-07T07:00:00+00:00,2021-08-07T09:00:00,DK2,445.49,59.9
2021-08-07T06:00:00+00:00,2021-08-07T08:00:00,DK2,477.03,64.14
2021-08-07T05:00:00+00:00,2021-08-07T07:00:00,DK2,467.29,62.83
2021-08-07T04:00:00+00:00,2021-08-07T06:00:00,DK2,452.49,60.84
2021-08-07T03:00:00+00:00,2021-08-07T05:00:00,DK2,451.89,60.76
2021-08-07T02:00:00+00:00,2021-08-07T04:00:00,DK2,431.88,58.07
2021-08-07T01:00:00+00:00,2021-08-07T03:00:00,DK2,424,57.01
2021-08-07T00:00:00+00:00,2021-08-07T02:00:00,DK2,429.73,57.78
2021-08-06T23:00:00+00:00,2021-08-07T01:00:00,DK2,439.02,59.03
2021-08-06T22:00:00+00:00,2021-08-07T00:00:00,DK2,478.07,64.28
2021-08-06T21:00:00+00:00,2021-08-06T23:00:00,DK2,490.28,65.93
2021-08-06T20:00:00+00:00,2021-08-06T22:00:00,DK2,575.05,77.33
2021-08-06T19:00:00+00:00,2021-08-06T21:00:00,DK2,602.19,80.98
2021-08-06T18:00:00+00:00,2021-08-06T20:00:00,DK2,626.66,84.27
2021-08-06T17:00:00+00:00,2021-08-06T19:00:00,DK2,616.92,82.96
2021-08-06T16:00:00+00:00,2021-08-06T18:00:00,DK2,565.83,76.09
2021-08-06T15:00:00+00:00,2021-08-06T17:00:00,DK2,484.92,65.21
2021-08-06T14:00:00+00:00,2021-08-06T16:00:00,DK2,438.22,58.93
2021-08-06T13:00:00+00:00,2021-08-06T15:00:00,DK2,411.08,55.28
2021-08-06T12:00:00+00:00,2021-08-06T14:00:00,DK2,406.32,54.64
2021-08-06T11:00:00+00:00,2021-08-06T13:00:00,DK2,439.86,59.15
2021-08-06T10:00:00+00:00,2021-08-06T12:00:00,DK2,481.43,64.74
2021-08-06T09:00:00+00:00,2021-08-06T11:00:00,DK2,513.7,69.08
2021-08-06T08:00:00+00:00,2021-08-06T10:00:00,DK2,576.46,77.52
2021-08-06T07:00:00+00:00,2021-08-06T09:00:00,DK2,640.49,86.13
2021-08-06T06:00:00+00:00,2021-08-06T08:00:00,DK2,706.3,94.98
2021-08-06T05:00:00+00:00,2021-08-06T07:00:00,DK2,669.27,90
2021-08-06T04:00:00+00:00,2021-08-06T06:00:00,DK2,605.54,81.43
2021-08-06T03:00:00+00:00,2021-08-06T05:00:00,DK2,494.14,66.45
2021-08-06T02:00:00+00:00,2021-08-06T04:00:00,DK2,477.63,64.23
2021-08-06T01:00:00+00:00,2021-08-06T03:00:00,DK2,476.44,64.07
2021-08-06T00:00:00+00:00,2021-08-06T02:00:00,DK2,468.26,62.97
2021-08-05T23:00:00+00:00,2021-08-06T01:00:00,DK2,472.21,63.5
2021-08-05T22:00:00+00:00,2021-08-06T00:00:00,DK2,483.58,65.03
2021-08-05T21:00:00+00:00,2021-08-05T23:00:00,DK2,525.07,70.6
